cluster,EMXT,MMXT
0,95,869
0,97,914
0,97,946
0,98,930
0,94,894
0,94,890
0,102,930
0,98,931
0,97,934
0,98,916
0,95,881
0,98,940
0,97,934
0,100,947
0,97,900
0,95,863
0,96,839
0,99,849
0,93,891
0,97,929
0,101,924
0,99,960
0,96,881
0,96,922
0,96,942
0,99,939
0,96,902
0,93,864
0,93,868
0,92,885
0,97,929
0,97,953
0,98,921
0,95,849
0,96,880
0,96,922
0,97,947
0,95,912
0,94,896
0,96,899
0,97,919
0,98,935
0,96,909
0,96,910
0,94,901
0,96,936
0,97,955
0,98,931
0,93,890
0,95,904
0,98,946
0,98,948
0,96,919
0,97,909
0,101,952
0,99,965
0,100,958
0,98,901
0,102,894
0,93,914
0,96,924
0,100,954
0,96,900
0,95,906
0,96,926
0,100,964
0,98,931
0,105,934
0,93,866
0,95,896
0,102,950
0,98,945
0,99,957
0,96,903
0,93,864
0,96,875
0,96,905
0,97,931
0,97,929
0,99,957
0,101,921
0,98,831
0,95,914
0,94,921
0,104,923
0,99,934
0,95,884
0,98,870
0,95,920
0,99,953
0,99,954
0,93,905
0,93,892
0,95,851
0,100,885
0,96,944
0,100,948
0,104,963
0,104,939
0,94,876
0,94,893
0,99,911
0,96,925
0,98,935
0,98,954
0,97,910
0,94,908
0,95,915
0,99,935
0,93,908
0,94,878
0,95,850
0,93,878
0,97,940
0,95,893
0,96,927
0,98,883
0,94,899
0,95,923
0,100,965
0,99,965
0,97,901
0,93,865
0,96,912
0,97,938
0,95,919
0,98,959
0,96,902
0,92,874
0,101,897
0,100,911
0,98,938
0,96,925
0,101,967
0,103,949
0,96,887
0,97,919
0,103,955
0,97,937
0,105,958
0,99,934
0,97,881
0,99,834
0,94,874
0,102,944
0,98,941
0,100,953
0,97,902
0,93,876
1,77,638
1,79,619
1,85,677
1,78,650
1,83,697
1,82,670
1,79,707
1,83,665
1,79,689
1,82,534
1,81,579
1,84,638
1,74,579
1,73,597
1,77,630
1,84,657
1,80,671
1,80,585
1,80,630
1,82,684
1,79,666
1,81,635
1,79,617
1,82,692
1,83,611
1,69,510
1,72,532
1,77,624
1,79,612
1,77,613
1,78,597
1,78,590
1,85,650
1,83,671
1,75,598
1,79,576
1,72,558
1,78,677
1,83,694
1,75,629
1,78,617
1,73,568
1,83,667
1,76,596
1,77,607
1,84,608
1,84,677
1,84,610
1,81,602
1,79,611
1,71,518
1,81,593
1,83,628
1,77,566
1,83,668
1,82,611
1,82,595
1,83,694
1,85,599
1,78,544
1,82,593
1,83,691
1,72,557
1,76,624
1,81,629
1,83,645
1,80,594
1,79,633
1,80,673
1,87,620
1,80,545
1,76,559
1,77,568
1,80,638
1,80,598
1,74,508
1,71,539
1,75,608
1,80,618
1,84,689
1,76,617
1,79,608
1,78,598
1,86,660
1,86,654
1,77,592
1,79,564
1,78,568
1,83,675
1,78,632
1,82,610
1,73,557
1,84,668
1,76,601
1,80,602
1,84,615
1,90,601
1,86,606
1,83,688
1,79,608
1,69,508
1,83,603
1,82,603
1,79,564
1,81,646
1,82,599
1,81,704
1,75,526
1,73,540
1,74,490
1,83,663
1,86,613
1,78,539
1,83,607
1,69,552
1,84,629
1,82,627
1,83,640
1,85,591
1,80,650
1,88,625
1,83,548
1,77,580
1,82,575
1,80,689
1,78,658
1,78,649
1,81,657
1,80,678
1,84,667
1,83,672
1,83,656
1,81,658
1,80,591
1,84,673
1,80,643
1,83,679
1,82,699
1,75,565
1,78,614
1,78,594
1,81,716
1,81,679
1,76,620
1,81,665
1,78,658
1,81,698
1,82,676
1,80,645
1,79,700
1,82,623
1,79,624
1,84,648
1,79,587
1,83,640
